park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdc48p3,HOURLY,A,16,2021-06-15 13:57:03,P,2021-06-15 14:00:00
tdc48p3,HOURLY,A,18,2021-06-15 06:57:02,P,2021-06-15 07:00:00
tdc48p3,HOURLY,A,15,2021-06-14 21:56:03,P,2021-06-14 22:00:00
tdc48p3,HOURLY,A,15,2021-04-14 10:13:02,P,2021-04-14 10:15:00
tdc48p3,HOURLY,A,17,2021-04-12 06:43:01,P,2021-04-12 06:45:00
tdc48p3,HOURLY,A,17,2021-04-12 00:12:02,P,2021-04-12 00:15:00
tdc48p3,HOURLY,A,16,2021-04-11 15:27:02,P,2021-04-11 15:30:00
tdc48p3,HOURLY,A,12,2021-04-11 10:57:02,P,2021-04-11 11:00:00
tdc48p3,HOURLY,A,17,2021-04-11 07:12:02,P,2021-04-11 07:15:00
tdc48p3,HOURLY,A,17,2021-04-11 02:58:02,P,2021-04-11 03:00:00
tdc48p3,HOURLY,A,17,2021-04-11 00:13:02,P,2021-04-11 00:15:00
tdc48p3,HOURLY,A,15,2021-04-10 21:13:02,P,2021-04-10 21:15:00
tdc48p3,HOURLY,A,10,2021-04-10 18:44:02,P,2021-04-10 18:45:00
tdc48p3,HOURLY,A,13,2021-04-10 15:58:02,P,2021-04-10 16:00:00
tdc48p3,HOURLY,A,9,2021-04-10 12:58:02,P,2021-04-10 13:00:00
tdc48p3,HOURLY,A,10,2021-04-10 10:29:02,P,2021-04-10 10:30:00
tdc48p3,HOURLY,A,17,2021-04-10 07:43:02,P,2021-04-10 07:45:00
tdc48p3,HOURLY,A,15,2021-04-10 04:28:02,P,2021-04-10 04:30:00
tdc48p3,HOURLY,A,15,2021-04-10 00:58:02,P,2021-04-10 01:00:00
tdc48p3,HOURLY,A,12,2021-04-09 22:12:01,P,2021-04-09 22:15:00
tdc48p3,HOURLY,A,13,2021-04-09 18:58:01,P,2021-04-09 19:00:00
tdc48p3,HOURLY,A,10,2021-04-09 16:27:02,P,2021-04-09 16:30:00
tdc48p3,HOURLY,A,12,2021-04-09 13:42:02,P,2021-04-09 13:45:00
tdc48p3,HOURLY,A,14,2021-04-09 11:14:02,P,2021-04-09 11:15:00
tdc48p3,HOURLY,A,18,2021-04-09 08:43:02,P,2021-04-09 08:45:00
tdc48p3,HOURLY,A,16,2021-04-09 05:28:02,P,2021-04-09 05:30:00
tdc48p3,HOURLY,A,16,2021-04-09 03:13:01,P,2021-04-09 03:15:00
tdc48p3,HOURLY,A,16,2021-04-08 23:43:02,P,2021-04-08 23:45:00
tdc48p3,HOURLY,A,8,2021-04-08 20:58:02,P,2021-04-08 21:00:00
tdc48p3,HOURLY,A,13,2021-04-08 18:28:02,P,2021-04-08 18:30:00
tdc48p3,HOURLY,A,13,2021-04-08 15:57:02,P,2021-04-08 16:00:00
tdc48p3,HOURLY,A,15,2021-04-08 12:43:02,P,2021-04-08 12:45:00
tdc48p3,HOURLY,A,15,2021-04-08 09:29:01,P,2021-04-08 09:30:00
tdc48p3,HOURLY,A,18,2021-04-08 07:12:01,P,2021-04-08 07:15:00
tdc48p3,HOURLY,A,18,2021-04-08 04:12:01,P,2021-04-08 04:15:00
tdc48p3,HOURLY,A,18,2021-04-08 00:12:02,P,2021-04-08 00:15:00
tdc48p3,HOURLY,A,14,2021-04-07 21:28:01,P,2021-04-07 21:30:00
tdc48p3,HOURLY,A,5,2021-04-07 19:13:02,P,2021-04-07 19:15:00
tdc48p3,HOURLY,A,15,2021-04-07 15:43:02,P,2021-04-07 15:45:00
tdc48p3,HOURLY,A,16,2021-04-07 12:43:03,P,2021-04-07 12:45:00
tdc48p3,HOURLY,A,17,2021-04-07 09:57:02,P,2021-04-07 10:00:00
tdc48p3,HOURLY,A,17,2021-04-07 07:14:02,P,2021-04-07 07:15:00
tdc48p3,HOURLY,A,18,2021-04-07 05:57:02,P,2021-04-07 06:00:00
tdc48p3,HOURLY,A,18,2021-04-07 03:44:01,P,2021-04-07 03:45:00
tdc48p3,HOURLY,A,18,2021-04-07 01:26:02,P,2021-04-07 01:30:00
tdc48p3,HOURLY,A,18,2021-04-06 23:29:02,P,2021-04-06 23:30:00
tdc48p3,HOURLY,A,18,2021-04-06 20:28:02,P,2021-04-06 20:30:00
tdc48p3,HOURLY,A,11,2021-04-06 18:43:02,P,2021-04-06 18:45:00
tdc48p3,HOURLY,A,16,2021-04-06 16:41:02,P,2021-04-06 16:45:00
tdc48p3,HOURLY,A,15,2021-04-06 14:42:01,P,2021-04-06 14:45:00
tdc48p3,HOURLY,A,17,2021-04-06 12:13:01,P,2021-04-06 12:15:00
tdc48p3,HOURLY,A,9,2021-04-06 10:12:01,P,2021-04-06 10:15:00
tdc48p3,HOURLY,A,18,2021-04-06 02:13:02,P,2021-04-06 02:15:00
tdc48p3,HOURLY,A,16,2021-04-05 17:14:02,P,2021-04-05 17:15:00
tdc48p3,HOURLY,A,15,2021-04-05 14:59:02,P,2021-04-05 15:00:00
tdc48p3,HOURLY,A,13,2021-04-05 13:14:02,P,2021-04-05 13:15:00
tdc48p3,HOURLY,A,18,2021-04-05 04:57:01,P,2021-04-05 05:00:00
tdc48p3,HOURLY,A,14,2021-04-04 10:57:02,P,2021-04-04 11:00:00
tdc48p3,HOURLY,A,18,2021-04-04 06:58:02,P,2021-04-04 07:00:00
tdc48p3,HOURLY,A,14,2021-04-03 16:44:02,P,2021-04-03 16:45:00
tdc48p3,HOURLY,A,18,2021-04-03 09:42:02,P,2021-04-03 09:45:00
tdc48p3,HOURLY,A,17,2021-04-03 01:42:01,P,2021-04-03 01:45:00
tdc48p3,HOURLY,A,13,2021-04-02 17:43:01,P,2021-04-02 17:45:00
tdc48p3,HOURLY,A,17,2021-04-02 05:58:02,P,2021-04-02 06:00:00
tdc48p3,HOURLY,A,14,2021-04-01 15:42:01,P,2021-04-01 15:45:00
tdc48p3,HOURLY,A,17,2021-04-01 07:14:02,P,2021-04-01 07:15:00
tdc48p3,HOURLY,A,18,2021-04-01 00:28:02,P,2021-04-01 00:30:00
tdc48p3,HOURLY,A,18,2021-03-29 02:58:01,P,2021-03-29 03:00:00
tdc48p3,HOURLY,A,14,2021-03-28 18:13:02,P,2021-03-28 18:15:00
tdc48p3,HOURLY,A,14,2021-03-28 09:42:02,P,2021-03-28 09:45:00
tdc48p3,HOURLY,A,18,2021-03-28 01:42:01,P,2021-03-28 01:45:00
tdc48p3,HOURLY,A,13,2021-03-27 19:14:02,P,2021-03-27 19:15:00
tdc48p3,HOURLY,A,15,2021-03-27 11:58:01,P,2021-03-27 12:00:00
tdc48p3,HOURLY,A,9,2021-03-24 17:43:02,P,2021-03-24 17:45:00
tdc48p3,HOURLY,A,14,2021-03-22 07:13:02,P,2021-03-22 07:15:00
tdc48p3,HOURLY,A,14,2021-03-22 02:13:01,P,2021-03-22 02:15:00
tdc48p3,HOURLY,A,3,2021-03-21 16:13:01,P,2021-03-21 16:15:00
tdc48p3,HOURLY,A,18,2021-03-21 05:27:02,P,2021-03-21 05:30:00
tdc48p3,HOURLY,A,17,2021-03-20 20:58:01,P,2021-03-20 21:00:00
tdc48p3,HOURLY,A,15,2021-03-20 13:14:02,P,2021-03-20 13:15:00
tdc48p3,HOURLY,A,18,2021-03-20 08:13:01,P,2021-03-20 08:15:00
tdc48p3,HOURLY,A,10,2021-03-19 18:43:02,P,2021-03-19 18:45:00
tdc48p3,HOURLY,A,16,2021-06-15 13:43:03,P,2021-06-15 13:45:00
tdc48p3,HOURLY,A,15,2021-06-15 06:41:03,P,2021-06-15 06:45:00
tdc48p3,HOURLY,A,15,2021-06-14 23:11:02,P,2021-06-14 23:15:00
tdc48p3,HOURLY,A,11,2021-06-14 18:42:02,P,2021-06-14 18:45:00
tdc48p3,HOURLY,A,14,2021-06-14 15:12:03,P,2021-06-14 15:15:00
tdc48p3,HOURLY,A,17,2021-04-12 04:28:02,P,2021-04-12 04:30:00
tdc48p3,HOURLY,A,17,2021-04-11 22:13:01,P,2021-04-11 22:15:00
tdc48p3,HOURLY,A,16,2021-04-11 12:13:02,P,2021-04-11 12:15:00
tdc48p3,HOURLY,A,14,2021-04-04 12:26:02,P,2021-04-04 12:30:00
tdc48p3,HOURLY,A,16,2021-04-03 22:13:02,P,2021-04-03 22:15:00
tdc48p3,HOURLY,A,16,2021-04-03 13:43:02,P,2021-04-03 13:45:00
tdc48p3,HOURLY,A,16,2021-04-03 07:27:02,P,2021-04-03 07:30:00
tdc48p3,HOURLY,A,17,2021-04-03 03:13:01,P,2021-04-03 03:15:00
tdc48p3,HOURLY,A,7,2021-04-02 19:28:02,P,2021-04-02 19:30:00
tdc48p3,HOURLY,A,16,2021-04-02 13:59:01,P,2021-04-02 14:00:00
tdc48p3,HOURLY,A,17,2021-04-02 04:58:02,P,2021-04-02 05:00:00
tdc48p3,HOURLY,A,16,2021-04-01 15:28:02,P,2021-04-01 15:30:00
tdc48p3,HOURLY,A,18,2021-04-01 03:41:02,P,2021-04-01 03:45:00
tdc48p3,HOURLY,A,18,2021-03-29 01:29:02,P,2021-03-29 01:30:00
tdc48p3,HOURLY,A,18,2021-03-28 20:43:02,P,2021-03-28 20:45:00
tdc48p3,HOURLY,A,12,2021-03-28 13:59:01,P,2021-03-28 14:00:00
tdc48p3,HOURLY,A,18,2021-03-28 06:57:02,P,2021-03-28 07:00:00
tdc48p3,HOURLY,A,18,2021-03-28 03:13:02,P,2021-03-28 03:15:00
tdc48p3,HOURLY,A,16,2021-03-27 21:43:02,P,2021-03-27 21:45:00
tdc48p3,HOURLY,A,16,2021-03-27 12:42:02,P,2021-03-27 12:45:00
tdc48p3,HOURLY,A,13,2021-03-24 16:58:02,P,2021-03-24 17:00:00
tdc48p3,HOURLY,A,12,2021-03-24 11:59:02,P,2021-03-24 12:00:00
tdc48p3,HOURLY,A,14,2021-03-22 00:58:01,P,2021-03-22 01:00:00
tdc48p3,HOURLY,A,14,2021-03-21 18:44:02,P,2021-03-21 18:45:00
tdc48p3,HOURLY,A,11,2021-03-21 10:42:02,P,2021-03-21 10:45:00
tdc48p3,HOURLY,A,15,2021-03-21 08:43:01,P,2021-03-21 08:45:00
tdc48p3,HOURLY,A,18,2021-03-20 23:28:01,P,2021-03-20 23:30:00
tdc48p3,HOURLY,A,12,2021-03-20 15:27:02,P,2021-03-20 15:30:00
tdc48p3,HOURLY,A,14,2021-03-20 06:12:01,P,2021-03-20 06:15:00
