park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdcp11,HOURLY,A,4,2021-06-15 13:58:03,P,2021-06-15 14:00:00
tdcp11,HOURLY,A,151,2021-06-15 06:58:03,P,2021-06-15 07:00:00
tdcp11,HOURLY,A,149,2021-06-14 21:57:03,P,2021-06-14 22:00:00
tdcp11,HOURLY,A,157,2021-06-13 06:43:03,P,2021-06-13 06:45:00
tdcp11,HOURLY,A,111,2021-06-12 21:13:03,P,2021-06-12 21:15:00
tdcp11,HOURLY,A,39,2021-06-12 12:43:04,P,2021-06-12 12:45:00
tdcp11,HOURLY,A,154,2021-06-12 05:58:02,P,2021-06-12 06:00:00
tdcp11,HOURLY,A,150,2021-06-11 23:27:03,P,2021-06-11 23:30:00
tdcp11,HOURLY,A,9,2021-06-11 13:43:03,P,2021-06-11 13:45:00
tdcp11,HOURLY,A,153,2021-06-11 02:42:03,P,2021-06-11 02:45:00
tdcp11,HOURLY,A,99,2021-06-10 20:13:03,P,2021-06-10 20:15:00
tdcp11,HOURLY,A,32,2021-06-10 16:12:04,P,2021-06-10 16:15:00
tdcp11,HOURLY,A,22,2021-06-10 12:28:03,P,2021-06-10 12:30:00
tdcp11,HOURLY,A,57,2021-06-10 09:57:04,P,2021-06-10 10:00:00
tdcp11,HOURLY,A,151,2021-06-10 07:13:03,P,2021-06-10 07:15:00
tdcp11,HOURLY,A,156,2021-06-10 03:57:03,P,2021-06-10 04:00:00
tdcp11,HOURLY,A,151,2021-06-10 00:12:03,P,2021-06-10 00:15:00
tdcp11,HOURLY,A,99,2021-06-09 20:12:03,P,2021-06-09 20:15:00
tdcp11,HOURLY,A,29,2021-06-09 17:28:03,P,2021-06-09 17:30:00
tdcp11,HOURLY,A,8,2021-06-09 13:57:03,P,2021-06-09 14:00:00
tdcp11,HOURLY,A,29,2021-06-09 10:57:04,P,2021-06-09 11:00:00
tdcp11,HOURLY,A,57,2021-06-09 09:43:03,P,2021-06-09 09:45:00
tdcp11,HOURLY,A,92,2021-06-09 08:43:03,P,2021-06-09 08:45:00
tdcp11,HOURLY,A,157,2021-06-09 05:57:03,P,2021-06-09 06:00:00
tdcp11,HOURLY,A,157,2021-06-09 04:12:03,P,2021-06-09 04:15:00
tdcp11,HOURLY,A,158,2021-06-09 02:12:03,P,2021-06-09 02:15:00
tdcp11,HOURLY,A,127,2021-06-08 20:58:03,P,2021-06-08 21:00:00
tdcp11,HOURLY,A,80,2021-06-08 18:43:03,P,2021-06-08 18:45:00
