park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdstt9p1,HOURLY,A,9,2021-05-18 23:26:04,P,2021-05-18 23:30:00
tdstt9p1,HOURLY,A,9,2021-05-18 15:27:06,P,2021-05-18 15:30:00
tdstt9p1,HOURLY,A,9,2021-05-18 13:11:06,P,2021-05-18 13:15:00
tdstt9p1,HOURLY,A,9,2021-05-18 12:27:07,P,2021-05-18 12:30:00
tdstt9p1,HOURLY,A,9,2021-05-18 01:56:03,P,2021-05-18 02:00:00
tdstt9p1,HOURLY,A,9,2021-05-18 00:27:06,P,2021-05-18 00:30:00
tdstt9p1,HOURLY,A,9,2021-05-17 21:58:03,P,2021-05-17 22:00:00
tdstt9p1,HOURLY,A,9,2021-05-17 18:56:03,P,2021-05-17 19:00:00
tdstt9p1,HOURLY,A,9,2021-05-17 16:57:06,P,2021-05-17 17:00:00
tdstt9p1,HOURLY,A,9,2021-05-17 11:57:06,P,2021-05-17 12:00:00
tdstt9p1,HOURLY,A,9,2021-05-17 09:42:03,P,2021-05-17 09:45:00
tdstt9p1,HOURLY,A,9,2021-05-17 07:41:06,P,2021-05-17 07:45:00
tdstt9p1,HOURLY,A,9,2021-05-17 05:13:06,P,2021-05-17 05:15:00
tdstt9p1,HOURLY,A,9,2021-05-17 01:43:06,P,2021-05-17 01:45:00
tdstt9p1,HOURLY,A,9,2021-05-16 23:28:03,P,2021-05-16 23:30:00
tdstt9p1,HOURLY,A,9,2021-05-16 21:26:04,P,2021-05-16 21:30:00
tdstt9p1,HOURLY,A,9,2021-05-16 19:43:06,P,2021-05-16 19:45:00
tdstt9p1,HOURLY,A,9,2021-05-16 18:57:06,P,2021-05-16 19:00:00
tdstt9p1,HOURLY,A,9,2021-05-16 17:42:03,P,2021-05-16 17:45:00
tdstt9p1,HOURLY,A,9,2021-05-16 16:11:06,P,2021-05-16 16:15:00
tdstt9p1,HOURLY,A,9,2021-05-16 13:56:03,P,2021-05-16 14:00:00
tdstt9p1,HOURLY,A,9,2021-05-16 11:26:04,P,2021-05-16 11:30:00
tdstt9p1,HOURLY,A,9,2021-05-16 08:28:03,P,2021-05-16 08:30:00
tdstt9p1,HOURLY,A,9,2021-05-16 05:26:04,P,2021-05-16 05:30:00
tdstt9p1,HOURLY,A,9,2021-05-16 02:43:07,P,2021-05-16 02:45:00
tdstt9p1,HOURLY,A,2,2021-04-11 02:58:03,P,2021-04-11 03:00:00
tdstt9p1,HOURLY,A,7,2021-04-11 00:12:03,P,2021-04-11 00:15:00
tdstt9p1,HOURLY,A,17,2021-04-10 21:12:03,P,2021-04-10 21:15:00
tdstt9p1,HOURLY,A,26,2021-04-10 18:42:03,P,2021-04-10 18:45:00
tdstt9p1,HOURLY,A,12,2021-04-10 15:56:03,P,2021-04-10 16:00:00
tdstt9p1,HOURLY,A,10,2021-04-10 12:56:03,P,2021-04-10 13:00:00
tdstt9p1,HOURLY,A,7,2021-04-10 10:27:06,P,2021-04-10 10:30:00
tdstt9p1,HOURLY,A,7,2021-04-10 07:41:06,P,2021-04-10 07:45:00
tdstt9p1,HOURLY,A,4,2021-04-10 04:27:06,P,2021-04-10 04:30:00
tdstt9p1,HOURLY,A,3,2021-04-10 00:57:06,P,2021-04-10 01:00:00
tdstt9p1,HOURLY,A,13,2021-04-09 22:11:06,P,2021-04-09 22:15:00
tdstt9p1,HOURLY,A,34,2021-04-09 18:57:06,P,2021-04-09 19:00:00
tdstt9p1,HOURLY,A,17,2021-04-09 16:27:06,P,2021-04-09 16:30:00
tdstt9p1,HOURLY,A,13,2021-04-09 13:41:06,P,2021-04-09 13:45:00
tdstt9p1,HOURLY,A,9,2021-04-09 11:13:06,P,2021-04-09 11:15:00
tdstt9p1,HOURLY,A,9,2021-04-09 08:42:03,P,2021-04-09 08:45:00
tdstt9p1,HOURLY,A,3,2021-04-09 05:26:05,P,2021-04-09 05:30:00
tdstt9p1,HOURLY,A,3,2021-04-09 03:12:03,P,2021-04-09 03:15:00
tdstt9p1,HOURLY,A,1,2021-03-29 02:57:06,P,2021-03-29 03:00:00
tdstt9p1,HOURLY,A,14,2021-03-28 18:11:03,P,2021-03-28 18:15:00
tdstt9p1,HOURLY,A,4,2021-03-28 09:41:02,P,2021-03-28 09:45:00
tdstt9p1,HOURLY,A,4,2021-03-28 01:42:05,P,2021-03-28 01:45:00
tdstt9p1,HOURLY,A,25,2021-03-27 19:12:06,P,2021-03-27 19:15:00
tdstt9p1,HOURLY,A,23,2021-03-27 11:57:03,P,2021-03-27 12:00:00
tdstt9p1,HOURLY,A,9,2021-05-18 22:13:06,P,2021-05-18 22:15:00
tdstt9p1,HOURLY,A,9,2021-05-18 17:26:03,P,2021-05-18 17:30:00
tdstt9p1,HOURLY,A,9,2021-05-18 15:11:06,P,2021-05-18 15:15:00
tdstt9p1,HOURLY,A,9,2021-05-18 10:56:03,P,2021-05-18 11:00:00
tdstt9p1,HOURLY,A,9,2021-05-18 08:57:06,P,2021-05-18 09:00:00
tdstt9p1,HOURLY,A,9,2021-05-18 06:27:03,P,2021-05-18 06:30:00
tdstt9p1,HOURLY,A,9,2021-05-18 04:42:03,P,2021-05-18 04:45:00
tdstt9p1,HOURLY,A,9,2021-05-18 02:26:03,P,2021-05-18 02:30:00
tdstt9p1,HOURLY,A,9,2021-05-17 23:12:03,P,2021-05-17 23:15:00
tdstt9p1,HOURLY,A,9,2021-05-17 21:27:06,P,2021-05-17 21:30:00
tdstt9p1,HOURLY,A,9,2021-05-17 19:42:03,P,2021-05-17 19:45:00
tdstt9p1,HOURLY,A,9,2021-05-17 17:57:06,P,2021-05-17 18:00:00
tdstt9p1,HOURLY,A,9,2021-05-17 15:11:06,P,2021-05-17 15:15:00
tdstt9p1,HOURLY,A,9,2021-05-17 09:56:04,P,2021-05-17 10:00:00
tdstt9p1,HOURLY,A,9,2021-05-17 04:41:06,P,2021-05-17 04:45:00
tdstt9p1,HOURLY,A,9,2021-05-17 02:27:06,P,2021-05-17 02:30:00
tdstt9p1,HOURLY,A,9,2021-05-16 14:12:03,P,2021-05-16 14:15:00
tdstt9p1,HOURLY,A,9,2021-05-16 11:42:03,P,2021-05-16 11:45:00
tdstt9p1,HOURLY,A,9,2021-05-16 08:57:06,P,2021-05-16 09:00:00
tdstt9p1,HOURLY,A,9,2021-05-16 05:57:06,P,2021-05-16 06:00:00
tdstt9p1,HOURLY,A,9,2021-05-16 02:57:06,P,2021-05-16 03:00:00
tdstt9p1,HOURLY,A,1,2021-03-29 01:28:07,P,2021-03-29 01:30:00
tdstt9p1,HOURLY,A,4,2021-03-28 20:43:03,P,2021-03-28 20:45:00
tdstt9p1,HOURLY,A,6,2021-03-28 13:58:06,P,2021-03-28 14:00:00
tdstt9p1,HOURLY,A,6,2021-03-28 06:56:05,P,2021-03-28 07:00:00
tdstt9p1,HOURLY,A,4,2021-03-28 03:11:02,P,2021-03-28 03:15:00
